,date,race,horse_name,jockey,horse_no,race_lbw_pred,race_win_div_pred
0,2019-07-21,1,MAJESTIC,M ZAKI,2,-0.9654763001105411,53.25000000000001
1,2019-07-21,1,PRINCE PEGASUS,APP M NIZAR,3,-0.21861124762528483,35.5
2,2019-07-21,1,HERO STAR,B MELHAM,4,-0.5972158229421849,47.333333333333336
3,2019-07-21,1,COMECATCHME,J AZZOPARDI,6,-10.636869092811873,2130.0
4,2019-07-21,1,HERO IN THE WIND,S NOH,7,-0.49464440417973776,42.6
5,2019-07-21,1,PLATO,APP WH KOK,8,-0.03653832068059515,26.625000000000004
6,2019-07-21,1,SILVER JOY,APP N ZYRUL,9,-2.774230020997186,106.50000000000001
7,2019-07-21,1,YULONG FIRE,M RODD,10,-5.1801869254724675,426.00000000000006
8,2019-07-21,1,ZMAN,C MURRAY,11,-4.650100129388806,213.00000000000003
9,2019-07-21,1,BROADWAY SUCCESS,R WOODWORTH,12,-4.767560096681811,426.00000000000006
10,2019-07-21,1,GOLDEN THUNDER,B PINHEIRO,13,0.0,26.625000000000004
11,2019-07-21,1,TAVITO,D MOOR,14,-3.940559519546262,213.00000000000003
12,2019-07-21,1,GANGNAM CLASSIC,APP F YUSOFF,15,-4.608056910116197,213.00000000000003
13,2019-07-21,1,RICHIE RICH,K A'ISISUHAIRI,16,-4.554106245041474,213.00000000000003
14,2019-07-21,2,ON LINE,V DURIC,1,0.0,7.8125
15,2019-07-21,2,FOREVER WIN,B THOMPSON,2,-2.4966049213533625,31.25
16,2019-07-21,2,LIM'S HONOUR,R WOODWORTH,3,-7.718481302085829,625.0
17,2019-07-21,2,MONTOYA,T BERRY,4,-9.478439638015905,625.0
18,2019-07-21,2,DUXTON,W PIKE,5,-4.743399260102217,62.5
19,2019-07-21,2,SUMMER GLITTER,B PINHEIRO,6,-7.804975955431535,625.0
20,2019-07-21,2,ALWAYS INNOCENT,B MELHAM,7,-6.592252827974612,625.0
21,2019-07-21,2,DAWNING GOLD,M RODD,8,-10.099355055823766,625.0
22,2019-07-21,2,HIGHGATE,S NOH,9,-6.521845980775712,625.0
23,2019-07-21,2,INVISIBLE,D MOOR,11,-6.779464976753212,625.0
24,2019-07-21,2,PISCA PISCA,CC WONG,12,-6.045677180912094,125.0
25,2019-07-21,2,AIR COMBAT,APP T KRISNA,13,-20.37707402121461,625.0
26,2019-07-21,2,FORT MUSTANG,JP VAN DER MERWE,14,-13.384362631238924,625.0
27,2019-07-21,2,CHAMPAGNE FINALE,J AZZOPARDI,15,-6.719523469534349,625.0
28,2019-07-21,3,SUPER TYCOON,W PIKE,1,-1.8283624685233466,72.39999999999999
29,2019-07-21,3,SAHARA EAGLE,C MURRAY,2,-13.065710525775373,1810.0000000000005
30,2019-07-21,3,TRAPIO,B THOMPSON,3,-1.7980270089139632,60.33333333333334
31,2019-07-21,3,COMMAND ROYALE,CC WONG,4,-2.3521240301552293,90.5
32,2019-07-21,3,DUSSELDORF,M RODD,5,0.0,22.625
33,2019-07-21,3,I'M INCREDIBLE,V DURIC,6,-1.3184617533578336,60.33333333333334
34,2019-07-21,3,TURF PRINCESS,B MELHAM,7,-0.0032117331097163415,22.625
35,2019-07-21,3,GREEN STAR,APP WH KOK,8,-0.6281208253819808,40.22222222222222
36,2019-07-21,3,OVERCOMING,T BERRY,10,-3.4736100962363388,181.0
37,2019-07-21,3,BEAR WITNESS,J AZZOPARDI,11,-8.051918234676059,1810.0000000000005
38,2019-07-21,3,CLARTON PALACE,I AZHAR,12,-4.984538411522666,362.0
39,2019-07-21,3,STORM RYKER,JP VAN DER MERWE,13,-3.8765052311750683,181.0
40,2019-07-21,3,DOMINIC,APP M NIZAR,14,-4.593789015845161,181.0
41,2019-07-21,3,ATLANTIC FOX,K A'ISISUHAIRI,15,-3.094645353628275,120.66666666666669
42,2019-07-21,4,STAR EMPIRE,J POWELL,1,-0.7674081986011823,53.44444444444444
43,2019-07-21,4,ABSOLUTE MIRACLE,C MURRAY,2,-0.5940789778016238,53.44444444444444
44,2019-07-21,4,CENTURION,APP WH KOK,3,-0.47248703129356207,48.099999999999994
45,2019-07-21,4,KENG MAK MAK,K A'ISISUHAIRI,4,-0.8475821622913724,60.125
46,2019-07-21,4,GALILEO'S APPROACH,M KELLADY,5,0.0,30.0625
47,2019-07-21,4,CORSA D'ORO,APP N ZYRUL,6,-9.058912697277375,2405.0
48,2019-07-21,4,KING ZOUSTAR,J AZZOPARDI,7,-0.8988578430486918,60.125
49,2019-07-21,4,LIM'S RIPPLE,T REHAIZAT,8,-1.3611483331068568,80.16666666666666
50,2019-07-21,4,DREAMER LEGEND,D MOOR,9,-1.0176907419163101,60.125
51,2019-07-21,4,HIGHER SOUL,CC WONG,10,-1.2983896147529572,68.71428571428571
52,2019-07-21,4,AUSPICIOUS DAY,G BOSS,11,-3.7029745509259167,240.5
53,2019-07-21,4,PENNSYLVANIA,B THOMPSON,12,-3.398390859342441,160.33333333333331
54,2019-07-21,4,OPTIMUM STAR,M ZAKI,13,-1.0943367582065315,68.71428571428571
55,2019-07-21,4,YULONG SHENG LONG,JP VAN DER MERWE,14,-2.9792133779314725,160.33333333333331
56,2019-07-21,5,MISS MICHELLE,JP VAN DER MERWE,1,-0.6717814492583796,42.888888888888886
57,2019-07-21,5,RUNMINDERBINDERRUN,APP WH KOK,2,0.0,24.125
58,2019-07-21,5,HELUSHKA,APP F YUSOFF,3,-3.916650041186565,193.0
59,2019-07-21,5,MAMAMIA MAMAMIA,APP I AMIRUL,4,-2.5709782410601454,96.5
60,2019-07-21,5,ON THE RAZZ,B THOMPSON,5,-3.3837565758783574,128.66666666666666
61,2019-07-21,5,WEST NORTH HILL,APP J SEE,6,-3.511665964365015,193.0
62,2019-07-21,5,DARCI'S BOY,M KELLADY,7,-5.870530206193437,386.0
63,2019-07-21,5,EVIL SPEEDO,S JOHN,8,-0.13652434678358105,27.57142857142857
64,2019-07-21,5,HOOGA NET,APP K NUH,9,-2.130327527023975,77.2
65,2019-07-21,5,PACIFIC DRAGON,J POWELL,11,-2.6129276037568516,96.5
66,2019-07-21,5,GINGERMAN,B PINHEIRO,12,-1.1954699972169593,55.14285714285714
67,2019-07-21,5,SPOKESMAN,I AZHAR,13,-1.618749516369245,64.33333333333333
68,2019-07-21,5,TOP BANANA,APP T KRISNA,14,-6.441483273622613,1929.9999999999995
69,2019-07-21,5,DRAGONITE,C MURRAY,15,-2.719663257570218,96.5
70,2019-07-21,6,LIONROCKSPIRIT,APP WH KOK,1,-7.4130012785927715,1110.0
71,2019-07-21,6,SONG TO THE MOON,JP VAN DER MERWE,2,-5.257069784440418,221.99999999999997
72,2019-07-21,6,THREEANDFOURPENCE,M RODD,3,-5.423842658169984,221.99999999999997
73,2019-07-21,6,GOLD STRIKE,B MELHAM,4,-1.144673989693289,31.714285714285715
74,2019-07-21,6,RICHEBOURG,R WOODWORTH,5,0.0,13.874999999999998
75,2019-07-21,6,KING'S SPEECH,B THOMPSON,6,-11.399932094770515,1110.0
76,2019-07-21,6,STAR JACK,M LERNER,7,-4.5987837013164174,110.99999999999999
77,2019-07-21,6,CHOCOLATS,V DURIC,8,-3.0471523720653666,74.0
78,2019-07-21,6,MAJESTIC EMPRESS,C MURRAY,9,-5.282368511245983,221.99999999999997
79,2019-07-21,6,MIGHTY EMPEROR,APP T KRISNA,10,-2.77159100924246,55.49999999999999
80,2019-07-21,6,MIGHTY KENNY,W PIKE,11,-4.008400631345768,110.99999999999999
81,2019-07-21,6,MR EXCHEQUER,J POWELL,12,-2.8930741384639003,74.0
82,2019-07-21,6,SOLO SUN,T REHAIZAT,13,-3.5997339035909297,110.99999999999999
83,2019-07-21,6,ATHLETICA,T BERRY,14,-3.6307899426395807,110.99999999999999
84,2019-07-21,7,MAGIC CITY,W PIKE,1,-9.69882549097109,1630.0
85,2019-07-21,7,WECANDO,APP I AMIRUL,2,-3.921627805190955,163.0
86,2019-07-21,7,KARISTO,B MELHAM,3,-0.9548391298209049,40.75
87,2019-07-21,7,CHALAZA,APP WH KOK,5,0.0,20.375
88,2019-07-21,7,CROWN GIFT,APP F YUSOFF,6,-3.509421092088155,163.0
89,2019-07-21,7,FILIBUSTER,M RODD,7,-3.665911318425995,163.0
90,2019-07-21,7,NATIONALITY,T BERRY,8,-1.2565394663239289,46.57142857142857
91,2019-07-21,7,SUPERNOVA,APP N ZYRUL,9,-1.1345021478036168,46.57142857142857
92,2019-07-21,7,IRONSIDE,B THOMPSON,10,-1.9272054667343497,65.2
93,2019-07-21,7,WONDERFUL PAINT,C MURRAY,11,-5.471193159973028,326.0
94,2019-07-21,7,LORD OF CLOUD,CC WONG,12,-0.7363063791695894,36.22222222222222
95,2019-07-21,7,LOVING YOU,D MOOR,13,-1.7789790338449856,54.333333333333336
96,2019-07-21,8,BAHANA,APP WH KOK,1,-5.432326939458148,325.0
97,2019-07-21,8,MAKANANI,M LERNER,2,-1.860987991670159,65.0
98,2019-07-21,8,MCGREGOR,J AZZOPARDI,3,-1.2585221483515356,46.42857142857142
99,2019-07-21,8,LOYALTY MAN,M RODD,4,-4.959426313360316,325.0
100,2019-07-21,8,CURVATURE,T BERRY,5,-3.658232729515585,162.5
101,2019-07-21,8,CLAUDIA'S BEAUTY,G BOSS,6,-1.240025209862066,46.42857142857142
102,2019-07-21,8,EAGLE EYE,D MOOR,7,0.0,20.3125
103,2019-07-21,8,NEPEAN,M KELLADY,8,-2.8567502676808156,108.33333333333333
104,2019-07-21,8,VIVIANO,I AZHAR,9,-0.4141631569903419,32.5
105,2019-07-21,8,MISS DUSTY,B THOMPSON,10,-1.2463963568383982,46.42857142857142
106,2019-07-21,8,YABADABADOO,APP I AMIRUL,11,-1.3290610845634867,54.166666666666664
107,2019-07-21,9,ELITE QUARTETO,S NOH,1,-5.558623937316341,425.0
108,2019-07-21,9,NIMBLE,J POWELL,2,-3.0175669565895804,141.66666666666666
109,2019-07-21,9,KING LOUIS,W PIKE,3,-1.0370003636377265,53.125
110,2019-07-21,9,MR CLINT,B PINHEIRO,4,-2.1975279714555453,85.00000000000001
111,2019-07-21,9,QUARTER BACK,V DURIC,5,0.0,26.5625
112,2019-07-21,9,SACRED CROIX,R WOODWORTH,6,-1.7404475646630777,70.83333333333333
113,2019-07-21,9,CIRCUIT MISSION,M RODD,7,-1.2526269827395105,60.71428571428572
114,2019-07-21,9,EYE GUY,B MELHAM,8,-1.3740414405293544,70.83333333333333
115,2019-07-21,9,SUN MARSHAL,J AZZOPARDI,9,-0.9959270009597723,53.125
116,2019-07-21,9,MAGIC WAND,CC WONG,10,-4.177672778695075,212.5
117,2019-07-21,9,GLASGOW,M LERNER,11,-2.7895396796218366,106.25
118,2019-07-21,9,HELIOSPHERE,T BERRY,12,-1.0038083791704508,53.125
119,2019-07-21,9,SUPER DYNASTY,S JOHN,13,-4.72971527113089,212.5
120,2019-07-21,9,BEAU GESTE,JP VAN DER MERWE,14,-3.174228296486363,141.66666666666666
121,2019-07-21,9,DESTROYER ECLIPSE,D MOOR,15,-3.5426441432952167,212.5
122,2019-07-21,9,WHAT'S NEW,B THOMPSON,16,-2.3422994188250374,106.25
123,2019-07-21,10,GOLDEN FLAME,B THOMPSON,1,-1.0580901652570487,37.714285714285715
124,2019-07-21,10,ABSOLVIDO,APP WH KOK,2,-0.7556210926501798,29.333333333333336
125,2019-07-21,10,BILLY BRITAIN,APP I AMIRUL,3,-3.896980286758552,132.0
126,2019-07-21,10,WIND OF LIBERTY,M LERNER,4,-2.395684863892755,66.0
127,2019-07-21,10,AXEL,R WOODWORTH,5,-2.3479847607674422,66.0
128,2019-07-21,10,DRONE,J AZZOPARDI,6,-6.735715117777895,1320.0
129,2019-07-21,10,IRVING LIPSCHITZ,D MOOR,7,0.0,16.5
130,2019-07-21,10,SIAM SAPPHIRE,G BOSS,8,-1.995316807527754,52.80000000000001
131,2019-07-21,10,O'WHAT A FEELING,M KELLADY,9,-3.669106165613349,132.0
132,2019-07-21,10,OXBOW SUN,CC WONG,10,-5.750943431660572,264.0
133,2019-07-21,10,ELITE BEAST,APP CK NG,11,-4.546988027524978,132.0
134,2019-07-21,10,MINGS MAN,APP N ZYRUL,12,-6.485838239430161,1320.0
135,2019-07-21,10,MY FRIENDS,Z ZURIMAN,13,-9.932900768170214,1320.0
136,2019-07-21,10,SILENT BOSS,K A'ISISUHAIRI,14,-7.756991794428983,1320.0
